Date,Close Price,High Price,Low Price,Volume,Moving Average (50 days),Moving Average (200 days),Change,Percentage Change
1980-01-01,1374.540119,1393.22216,1338.040203,3928314,1374.540119,1374.540119,0,
1980-01-02,1950.714306,1967.359911,1941.488707,1423173,1662.627213,1662.627213,576.1741876,41.917597
1980-01-03,1731.993942,1740.801637,1714.661957,,1685.749456,1685.749456,-218.7203646,-11.21232176
1980-01-04,1598.658484,1629.021818,1565.494452,1081196,1663.976713,1663.976713,-133.3354576,-7.698378984
1980-01-05,1156.01864,1179.849848,1131.914173,910956,1562.385098,,-442.6398438,-27.68820534
1980-01-06,1155.99452,1199.27957,1119.065968,3015427,1494.653335,1494.653335,,-0.002086480736
1980-01-07,1058.083612,1059.689091,1010.023217,4357444,1432.286232,1432.286232,-97.91090817,-8.469841893
1980-01-08,1866.176146,1898.369542,1860.348811,3747532,1486.522471,1486.522471,808.0925336,76.37322082
1980-01-09,1601.115012,1639.262456,,3196802,1499.254976,1499.254976,-265.061134,-14.20343597
1980-01-10,1708.072578,1746.046906,1696.55537,2106161,1520.136736,1520.136736,106.9575661,6.68019257
1980-01-11,1020.584494,,999.8606579,1049528,1474.722896,1474.722896,-687.4880835,-40.24934844
1980-01-12,1969.909852,2006.361539,1968.266716,1293678,1515.988475,1515.988475,,93.01781118
1980-01-13,1832.442641,1878.833144,1825.647272,4806774,1540.331104,1540.331104,-137.4672114,-6.978350365
1980-01-14,1212.339111,1228.971941,1196.350246,3058632,1516.903104,1516.903104,-620.1035301,-33.84026961
1980-01-15,1181.824967,1206.985438,1164.725677,389279,1494.564562,1494.564562,-30.51414347,-2.516964371
1980-01-16,1183.40451,1184.108493,1138.425249,2378901,1475.117058,1475.117058,1.579542646,0.1336528412
1980-01-17,1304.242243,1304.590122,1267.151597,,1465.065599,1465.065599,120.8377331,10.21102523
1980-01-18,1524.756432,1536.762763,,2146366,1468.381756,,220.5141887,16.90745641
1980-01-19,1431.945019,1436.985378,,375877,,,-92.81141299,-6.086966486
1980-01-20,1291.22914,1304.239709,,1100520,1457.702288,1457.702288,-140.7158784,-9.826905126
1980-01-21,1611.852895,1620.705059,1595.470143,1020602,1465.042793,1465.042793,320.6237545,24.83089519
1980-01-22,1139.493861,1140.919862,1123.502064,2806600,1450.245115,1450.245115,-472.3590341,-29.30534391
1980-01-23,,1337.609856,1275.819932,2306470,1443.371181,1443.371181,152.6507879,13.39636773
1980-01-24,1366.361843,1366.773,1332.713635,1467839,1440.162459,1440.162459,74.21719476,5.743721869
1980-01-25,1456.069984,1492.874091,1429.529588,1582338,1440.79876,1440.79876,89.70814092,6.565474685
1980-01-26,1785.175961,1792.783356,1765.904752,4177482,1454.044037,1454.044037,329.1059772,22.60234609
1980-01-27,1199.673782,1245.285263,1192.219294,1709246,1444.622916,1444.622916,-585.5021792,-32.79800938
1980-01-28,1514.234438,1558.874235,1513.12748,4868591,1447.109042,,314.5606563,26.22051602
1980-01-29,1592.414569,1625.109626,1581.472835,4555124,1452.119578,1452.119578,78.18013045,5.16301363
1980-01-30,1046.450413,1080.06212,1041.076843,266544,1438.597272,1438.597272,-545.9641561,-34.28530276
1980-01-31,1607.544852,1607.811809,1568.2726,319746,1444.047194,1444.047194,561.0944392,53.61882726
1980-02-01,1170.524124,1219.767702,1164.899226,3453599,1435.499598,1435.499598,-437.0207282,-27.18560093
1980-02-02,1065.051593,1108.943223,1028.840181,725586,1424.273901,1424.273901,-105.4725307,-9.010709696
1980-02-03,1948.885537,1993.640849,1929.602603,2719571,,1439.703655,883.8339443,82.98508261
1980-02-04,1965.632033,1998.59426,1961.963114,3701030,1454.73018,1454.73018,16.74649582,0.8592857559
1980-02-05,1808.397348,1825.636695,1767.760846,2889813,1464.554268,1464.554268,-157.234685,-7.999192235
1980-02-06,1304.613769,1349.296202,1275.632241,,1460.231552,1460.231552,-503.7835789,-27.85801359
1980-02-07,1097.672114,1112.24796,1085.884038,1016049,1450.690514,1450.690514,-206.9416552,-15.86229274
1980-02-08,1684.233027,1712.368604,1639.498968,4407000,1456.678784,1456.678784,586.5609125,53.43680549
1980-02-09,1440.152494,1445.139042,1437.889578,2256239,1456.265626,1456.265626,,-14.49208803
1980-02-10,1122.038235,1168.136016,1111.947254,2672613,1448.113739,,-318.1142589,-22.0889288
1980-02-11,1495.17691,1502.215433,1457.574564,4528097,1449.23429,1449.23429,373.1386753,33.25543316
1980-02-12,1034.388521,1045.633361,998.9196246,3682134,1439.586714,1439.586714,-460.788389,-30.81831895
1980-02-13,1909.320402,1937.22711,1894.856817,4952330,1450.26248,1450.26248,874.931881,84.58445382
1980-02-14,1258.779982,1296.984632,1255.678738,677801,1446.007313,1446.007313,-650.5404205,-34.07183099
1980-02-15,1662.522284,1693.48985,1619.618381,214307,1450.714161,,403.7423028,32.07409624
1980-02-16,1311.711076,1323.317772,1296.026194,4278761,,1447.756648,-350.8112083,-21.10114322
1980-02-17,1520.068021,1520.115173,1510.28235,2029021,1449.263135,1449.263135,208.3569451,15.88436271
1980-02-18,1546.710279,1584.567808,1520.907188,2214820,1451.251852,1451.251852,26.64225817,1.752701708
1980-02-19,1184.854456,1234.114822,1139.343096,3722242,1445.923904,1445.923904,-361.8558238,-23.39519098
1980-02-20,1969.584628,2010.080284,1967.407299,2432867,1457.824795,1456.191762,784.7301722,
1980-02-21,1775.132823,1798.143154,,4346114,1454.313165,1462.325244,-194.4518044,-9.872731624
1980-02-22,1939.498942,1984.687305,1910.87528,3658889,1458.463265,1471.328521,164.3661182,9.259370118
1980-02-23,1894.82735,1915.319734,1873.554895,4087319,1464.386642,1479.171092,-44.67159114,-2.303254216
1980-02-24,1597.899979,1624.146683,1560.695957,3124735,1473.224269,1481.329799,-296.9273716,-15.67041829
1980-02-25,1921.874235,1945.730723,1873.583014,3888716,1488.541863,1489.196664,323.9742562,20.27500222
1980-02-26,1088.492502,1110.873696,1077.032191,1358942,1489.150041,1482.166766,-833.381733,-43.36296922
1980-02-27,1195.982862,1234.742401,1188.800494,4086808,1475.746175,1477.232561,107.4903604,9.875158549
1980-02-28,1045.227289,1071.565734,,2700025,1464.628421,1469.910438,-150.7555735,-12.60516168
1980-02-29,1325.330331,1341.166187,1291.882677,3302754,1456.973576,1467.500769,280.1030419,26.79829017
1980-03-01,1388.67729,1401.585198,1366.777989,151376,1464.335432,1466.208581,,4.779710949
1980-03-02,1271.349032,1273.236398,1242.686053,2211308,1450.364216,1463.065685,-117.3282579,-8.448921775
1980-03-03,,1857.897267,1791.456814,3261967,1450.290113,1468.87,557.3884774,43.84228591
1980-03-04,1356.753327,1368.251397,1318.101732,1024593,1453.178397,1467.118177,-471.9841825,-25.80929084
1980-03-05,1280.93451,1288.341206,1234.939801,1985113,1455.160588,1464.253813,-75.81881701,-5.588253628
1980-03-06,1542.696083,1575.387581,1521.353944,3727798,1462.34642,1465.442332,261.7615735,20.43520348
1980-03-07,1140.924225,1174.984688,1126.253679,1896338,1459.080059,1460.598778,-401.7718582,-26.04348728
1980-03-08,1802.196981,1839.804725,1770.213767,,1464.62887,1465.622281,661.2727558,57.95939303
1980-03-09,1074.550644,1099.729488,1053.764249,2692925,1457.480983,1459.954576,-727.6463371,-40.37551638
1980-03-10,1986.886937,2031.589667,1957.157014,477380,1471.394139,1467.482181,,84.90398273
1980-03-11,1772.244769,1819.061907,1751.245479,4754895,1474.601976,1471.774612,-214.6421673,-10.80293817
1980-03-12,1198.715682,,1191.065892,314943,1475.786412,1467.982127,-573.5290878,-32.36173116
1980-03-13,1005.522117,1037.301791,982.0507795,1490917,1470.053962,1461.647058,-193.1935644,-16.11671286
1980-03-14,1815.461428,,1780.915537,4664002,1479.035954,1466.428334,809.9393113,80.54912941
1980-03-15,1706.857344,1756.00459,1666.893153,4174975,1484.051701,1469.634054,-108.6040846,
1980-03-16,1729.007168,1742.713976,,381035,1482.928325,1473.046858,22.14982419,1.297696276
